"Week_ending_Friday","Week_number","Status","Dubai_crude_USD.p.bbl","NZ_US_exrate","Dubai_crude_NZD.p.bbl","Diesel_importer_cost_NZc.p.l","Diesel_ETS_NZc.p.l","Diesel_GST_NZc.p.l","Diesel_taxes_NZc.p.l","Diesel_price_excl_taxes_NZc.p.l","Diesel_main_port_price_NZc.p.l","Diesel_discounted_retail_price_NZc.p.l","Diesel_importer_margin_NZc.p.l","Diesel_margin_trend_NZc.p.l","Petrol_importer_cost_NZc.p.l","Petrol_ETS_NZc.p.l","Petrol_GST_NZc.p.l","Petrol_taxes_NZc.p.l","Petrol_price_excl_taxes_NZc.p.l","Petrol_main_port_price_NZc.p.l","Petrol_discounted_retail_price_NZc.p.l","Petrol_importer_margin_NZc.p.l","Petrol_margin_trend_NZc.p.l","Diesel_main_port_price_excl_taxes_NZc.p.l"
2013-06-21,"2013w25","Final",101.3,0.79334,127.688002621827,102.28495429902,0.9345,18.9276636407071,19.3026636407071,124.874924271381,149.9,145.112087912088,22.5899699723613,25.468270115959,99.5854269509962,0.8085,27.4860487338748,88.6150487338748,121.302824892499,215.9,210.726373626374,21.7173979415026,23.1511074312985,129.038326086957
2013-06-28,"2013w26","Final",98.96,0.77668,127.41412164598,102.471654508623,0.9345,18.9276636407071,19.3026636407071,124.874924271381,149.9,145.112087912088,22.4032697627583,25.5229088085864,99.551785256605,0.8085,27.4860487338748,88.6150487338748,121.302824892499,215.9,210.726373626374,21.7510396358938,23.2040381087841,129.038326086957
2013-07-05,"2013w27","Final",101.28,0.77802,130.176602143904,103.73583879596,0.9345,19.384431541993,19.759431541993,127.920043613287,152.185714285714,148.613975155279,24.184204817327,25.5775475012139,100.350590063764,0.8085,28.1245746691871,92.2535746691871,122.559664461248,219.9,215.621739130435,22.2090743974837,23.2569687862697,131.025903726708
2013-07-12,"2013w28","Final",103.72,0.78256,132.539358004498,105.073667946983,0.534,19.7757358898191,20.1507358898191,130.92923926546,155.185714285714,151.613975155279,25.8555713184772,25.64695229815,104.55005327657,0.462,28.7394815014853,92.8684815014853,127.005543343235,224.614285714286,220.33602484472,22.4554900666653,23.2911668706555,134.035099378882
2013-07-19,"2013w29","Final",104.8,0.78558,133.404618243845,105.841007649062,0.534,19.9993383742911,20.3743383742911,132.419922495274,156.9,153.328260869565,26.578914846212,25.7163570950861,105.190528682469,0.462,29.037618147448,93.166618147448,128.993120982987,226.9,222.621739130435,23.8025923005179,23.3253649550414,135.525782608696
2013-07-26,"2013w30","Final",104.7,0.79866,131.094583427241,103.559168039023,0.534,19.8502700513097,20.2252700513097,131.426133675398,155.757142857143,152.185403726708,27.866965636375,25.7857618920222,98.0378029144428,0.462,28.7394815014853,92.8684815014853,127.005543343235,224.614285714286,220.33602484472,28.9677404287924,23.3595630394272,134.53199378882
2013-08-02,"2013w31","Final",105.02,0.799,131.439299123905,103.246042576018,0.534,19.5148663246017,19.8898663246017,129.190108830678,153.185714285714,149.613975155279,25.9440662546597,25.8551666889584,97.16609306722,0.462,28.2922765325412,92.4212765325412,124.024176883608,221.185714285714,216.907453416149,26.8580838163879,23.3937611238131,132.295968944099
2013-08-09,"2013w32","Final",104.29,0.7894,132.112997213073,105.053253087802,0.534,19.4775992438563,19.8525992438563,128.941661625709,152.9,149.328260869565,23.8884085379071,25.9245714858945,96.4948872742751,0.462,28.2550094517958,92.3840094517958,123.775729678639,220.9,216.621739130435,27.2808424043638,23.4279592081989,132.04752173913
2013-08-16,"2013w33","Final",106.07,0.8023,132.207403714321,103.599066898736,0.534,19.4775992438563,19.8525992438563,128.941661625709,152.9,149.328260869565,25.3425947269725,25.9939762828306,95.9016553805169,0.462,27.9196057250878,92.0486057250878,121.539704833918,218.328571428571,214.050310559006,25.6380494534015,23.4621572925848,132.04752173913
2013-08-23,"2013w34","Final",107.62,0.79714,135.007652357177,104.522880635464,0.534,19.4775992438563,19.8525992438563,128.941661625709,152.9,149.328260869565,24.4187809902449,26.0633810797667,96.0514107910758,0.462,27.8637051039698,91.9927051039698,121.167034026465,217.9,213.621739130435,25.1156232353892,23.4963553769707,132.04752173913
2013-08-30,"2013w35","Final",111.61,0.7802,143.053063317098,108.402725186868,0.534,19.7571023494464,20.1321023494464,130.805015662976,155.042857142857,151.471118012422,22.402290476108,26.1327858767028,101.361281161948,0.462,28.1432082095598,92.2722082095598,123.030388063732,220.042857142857,215.764596273292,21.6691069017841,23.5305534613565,133.910875776398
2013-09-06,"2013w36","Final",110.32,0.78342,140.818462638176,108.334860486117,0.534,19.8689035916824,20.2439035916824,131.550357277883,155.9,152.328260869565,23.2154967917655,26.2078392106244,102.426276954841,0.462,28.2550094517958,92.3840094517958,123.775729678639,220.9,216.621739130435,21.3494527237976,23.5461655019395,134.656217391304
2013-09-13,"2013w37","Final",109.02,0.80638,135.196805476326,104.201182089012,0.534,19.9620712935458,20.3370712935458,132.171475290305,156.614285714286,153.042546583851,27.9702932012933,26.2828925445459,95.9869903358221,0.462,28.3481771536592,92.4771771536592,124.396847691061,221.614285714286,217.33602484472,28.4098573552392,23.5617775425224,135.277335403727
2013-09-20,"2013w38","Final",107.54,0.82726,129.995406522738,100.438242886294,0.534,19.5148663246017,19.8898663246017,129.190108830678,153.185714285714,149.613975155279,28.7518659443834,26.3579458784674,92.7821376837319,0.462,27.9009721847151,92.0299721847151,121.415481231434,218.185714285714,213.907453416149,28.6333435477021,23.5773895831054,132.295968944099
2013-09-27,"2013w39","Final",106.14,0.83018,127.851791177817,101.953224497436,0.534,19.3471644612476,19.7221644612476,128.072096408318,151.9,148.328260869565,26.1188719108814,26.4329992123889,92.3654802087233,0.462,27.7332703213611,91.8622703213611,120.297468809074,216.9,212.621739130435,27.9319886003504,23.5930016236883,131.177956521739
